±¤Áľ,´ÜŔ§,±ą°ˇ,¸ĹŔĺ·®
ANTIMONY,metric tons,United States,60000
ANTIMONY,metric tons,Australia,140000
ANTIMONY,metric tons,Bolivia,310000
ANTIMONY,metric tons,Burma,140000
ANTIMONY,metric tons,Canada,78000
ANTIMONY,metric tons,China,670000
ANTIMONY,metric tons,Kyrgyzstan,260000
ANTIMONY,metric tons,Mexico,18000
ANTIMONY,metric tons,Pakistan,26000
ANTIMONY,metric tons,Russia (recoverable),350000
ANTIMONY,metric tons,Tajikistan,50000
ANTIMONY,metric tons,Turkey,99000
ANTIMONY,metric tons,World total (rounded),2000000
ASBESTOS,metric tons,Brazil,11000000
ASBESTOS,metric tons,China,18000000
ASBESTOS,metric tons,Russia,110000000
BARITE,thousand metric tons,China,110000
BARITE,thousand metric tons,India,51000
BARITE,thousand metric tons,Iran,100000
BARITE,thousand metric tons,Kazakhstan,85000
BARITE,thousand metric tons,Russia,12000
BARITE,thousand metric tons,Turkey,34000
BAUXITE,thousand metric dry tons,United States,20000
BAUXITE,thousand metric dry tons,Australia,3500000
BAUXITE,thousand metric dry tons,Brazil,2700000
BAUXITE,thousand metric dry tons,China,680000
BAUXITE,thousand metric dry tons,Guinea,7400000
BAUXITE,thousand metric dry tons,India,650000
BAUXITE,thousand metric dry tons,Indonesia,2800000
BAUXITE,thousand metric dry tons,Jamaica,2000000
BAUXITE,thousand metric dry tons,Kazakhstan,280000
BAUXITE,thousand metric dry tons,Russia,480000
BAUXITE,thousand metric dry tons,Saudi Arabia,180000
BAUXITE,thousand metric dry tons,Turkey,69000
BAUXITE,thousand metric dry tons,Vietnam,3100000
BAUXITE,thousand metric dry tons,Other countries,5300000
BAUXITE,thousand metric dry tons,World total (rounded),29000000
BORON,thousand metric tons,United States,48000
BORON,thousand metric tons,"Chile, ulexite",35000
BORON,thousand metric tons,"China, boric oxide equivalent",20000
BORON,thousand metric tons,"Peru, crude borates",4000
BORON,thousand metric tons,"Russia, datolite ore",40000
BORON,thousand metric tons,"Turkey, refined borates",950000
BROMINE,metric tons,United States,11000000
BROMINE,metric tons,Azerbaijan,300000
BROMINE,metric tons,China,130000
CHROMIUM,thousand metric tons,United States,630
CHROMIUM,thousand metric tons,Finland,8300
CHROMIUM,thousand metric tons,India,79000
CHROMIUM,thousand metric tons,Kazakhstan,230000
CHROMIUM,thousand metric tons,South Africa,200000
CHROMIUM,thousand metric tons,Turkey,27000
CHROMIUM,thousand metric tons,World total (rounded),560000
COBALT,metric tons,United States,69000
COBALT,metric tons,Australia,1700000
COBALT,metric tons,Canada,230000
COBALT,metric tons,Congo (Kinshasa),6000000
COBALT,metric tons,Cuba,500000
COBALT,metric tons,Indonesia,500000
COBALT,metric tons,Madagascar,100000
COBALT,metric tons,Papua New Guinea,49000
COBALT,metric tons,Philippines,260000
COBALT,metric tons,Russia,250000
COBALT,metric tons,Turkey,91000
COBALT,metric tons,Other countries,780000
COBALT,metric tons,World total (rounded),11000000
COPPER,thousand metric tons,United States,50000
COPPER,thousand metric tons,Australia,100000
COPPER,thousand metric tons,Canada,7600
COPPER,thousand metric tons,Chile,190000
COPPER,thousand metric tons,China,41000
COPPER,thousand metric tons,Congo (Kinshasa),80000
COPPER,thousand metric tons,Indonesia,24000
COPPER,thousand metric tons,Kazakhstan,20000
COPPER,thousand metric tons,Mexico,53000
COPPER,thousand metric tons,Peru,120000
COPPER,thousand metric tons,Poland,34000
COPPER,thousand metric tons,Russia,80000
COPPER,thousand metric tons,Zambia,21000
COPPER,thousand metric tons,Other countries,180000
COPPER,thousand metric tons,World total (rounded),1000000
DIAMOND (INDUSTRIAL),million carats,Angola,150
DIAMOND (INDUSTRIAL),million carats,Botswana,280
DIAMOND (INDUSTRIAL),million carats,Congo (Kinshasa),150
DIAMOND (INDUSTRIAL),million carats,Russia,860
DIAMOND (INDUSTRIAL),million carats,South Africa,95
DIAMOND (INDUSTRIAL),million carats,Other countries,120
DIAMOND (INDUSTRIAL),million carats,World total (rounded),1700
DIATOMITE,thousand metric tons,United States,250000
DIATOMITE,thousand metric tons,China,170000
DIATOMITE,thousand metric tons,Spain,57000
DIATOMITE,thousand metric tons,Turkey,44000
FELDSPAR AND NEPHELINE SYENITE,thousand metric tons,"Brazil (beneficiated, marketable)",150000
FELDSPAR AND NEPHELINE SYENITE,thousand metric tons,China,730000
FELDSPAR AND NEPHELINE SYENITE,thousand metric tons,Czechia,54000
FELDSPAR AND NEPHELINE SYENITE,thousand metric tons,India,320000
FELDSPAR AND NEPHELINE SYENITE,thousand metric tons,Iran,95000
FELDSPAR AND NEPHELINE SYENITE,thousand metric tons,"Korea, Republic of",180000
FELDSPAR AND NEPHELINE SYENITE,thousand metric tons,Thailand,45000
FELDSPAR AND NEPHELINE SYENITE,thousand metric tons,Turkey,720000
FLUORSPAR,thousand metric tons,China,67000
FLUORSPAR,thousand metric tons,Iran,4500
FLUORSPAR,thousand metric tons,Mexico,68000
FLUORSPAR,thousand metric tons,Mongolia,34000
FLUORSPAR,thousand metric tons,South Africa,41000
FLUORSPAR,thousand metric tons,Spain,15000
FLUORSPAR,thousand metric tons,Vietnam,3400
FLUORSPAR,thousand metric tons,Other countries,50000
FLUORSPAR,thousand metric tons,World total (rounded),280000
GARNET (INDUSTRIAL),metric tons,United States,5000000
GARNET (INDUSTRIAL),metric tons,China,37000000
GARNET (INDUSTRIAL),metric tons,India,8600000
GARNET (INDUSTRIAL),metric tons,South Africa,320000
GOLD,metric tons,United States,3000
GOLD,metric tons,Australia,12000
GOLD,metric tons,Brazil,2400
GOLD,metric tons,Canada,2300
GOLD,metric tons,China,3000
GOLD,metric tons,Ghana,1000
GOLD,metric tons,Indonesia,2600
GOLD,metric tons,Kazakhstan,1000
GOLD,metric tons,Mali,800
GOLD,metric tons,Mexico,1400
GOLD,metric tons,Tanzania,420
GOLD,metric tons,Peru,2300
GOLD,metric tons,Russia,11100
GOLD,metric tons,South Africa,5000
GOLD,metric tons,Uzbekistan,1800
GOLD,metric tons,Other countries,9200
GOLD,metric tons,World total (rounded),59000
GRAPHITE (NATURAL),metric tons,Brazil,74000000
GRAPHITE (NATURAL),metric tons,Canada,5700000
GRAPHITE (NATURAL),metric tons,China,78000000
GRAPHITE (NATURAL),metric tons,India,8600000
GRAPHITE (NATURAL),metric tons,"Korea, North",2000000
GRAPHITE (NATURAL),metric tons,"Korea, Republic of",1800000
GRAPHITE (NATURAL),metric tons,Madagascar,24000000
GRAPHITE (NATURAL),metric tons,Mexico,3100000
GRAPHITE (NATURAL),metric tons,Mozambique,25000000
GRAPHITE (NATURAL),metric tons,Norway,600000
GRAPHITE (NATURAL),metric tons,Russia,14000000
GRAPHITE (NATURAL),metric tons,Sri Lanka,1500000
GRAPHITE (NATURAL),metric tons,Tanzania,18000000
GRAPHITE (NATURAL),metric tons,Turkey,6900000
GRAPHITE (NATURAL),metric tons,World total (rounded),280000000
GYPSUM,thousand metric tons,United States,700000
GYPSUM,thousand metric tons,Brazil,450000
GYPSUM,thousand metric tons,Canada,450000
GYPSUM,thousand metric tons,China,2100000
GYPSUM,thousand metric tons,France,350000
GYPSUM,thousand metric tons,India,37000
GYPSUM,thousand metric tons,Iran,900000
GYPSUM,thousand metric tons,Pakistan,760000
GYPSUM,thousand metric tons,Thailand,910000
GYPSUM,thousand metric tons,Turkey,200000
HELIUM,million cubic meters,United States (extracted from natural gas),8500
HELIUM,million cubic meters,United States (from Cliffside Field),52
HELIUM,million cubic meters,Algeria,1800
HELIUM,million cubic meters,Poland,24
HELIUM,million cubic meters,Russia,1700
IODINE,metric tons,United States,250000
IODINE,metric tons,Azerbaijan,170000
IODINE,metric tons,Chile,610000
IODINE,metric tons,Iran,40000
IODINE,metric tons,Japan,4900000
IODINE,metric tons,Russia,120000
IODINE,metric tons,Turkmenistan,70000
IODINE,metric tons,World total (rounded),6200000
IRON ORE(crude ore),million metric tons,United States,3100
IRON ORE(crude ore),million metric tons,Australia,58000
IRON ORE(crude ore),million metric tons,Brazil,34000
IRON ORE(crude ore),million metric tons,Canada,6000
IRON ORE(crude ore),million metric tons,China,20000
IRON ORE(crude ore),million metric tons,India,5500
IRON ORE(crude ore),million metric tons,Iran,3300
IRON ORE(crude ore),million metric tons,Kazakhstan,2500
IRON ORE(crude ore),million metric tons,Peru,2600
IRON ORE(crude ore),million metric tons,Russia,29000
IRON ORE(crude ore),million metric tons,South Africa,990
IRON ORE(crude ore),million metric tons,Sweden,1300
IRON ORE(crude ore),million metric tons,Turkey,152
IRON ORE(crude ore),million metric tons,Ukraine,6500
IRON ORE(crude ore),million metric tons,Other countries,18000
IRON ORE(crude ore),million metric tons,World total (rounded),190000
IRON ORE(iron content),million metric tons,United States,1300
IRON ORE(iron content),million metric tons,Australia,27000
IRON ORE(iron content),million metric tons,Brazil,15000
IRON ORE(iron content),million metric tons,Canada,2300
IRON ORE(iron content),million metric tons,China,6900
IRON ORE(iron content),million metric tons,India,3400
IRON ORE(iron content),million metric tons,Iran,1500
IRON ORE(iron content),million metric tons,Kazakhstan,900
IRON ORE(iron content),million metric tons,Peru,1200
IRON ORE(iron content),million metric tons,Russia,14000
IRON ORE(iron content),million metric tons,South Africa,620
IRON ORE(iron content),million metric tons,Sweden,600
IRON ORE(iron content),million metric tons,Turkey,99
IRON ORE(iron content),million metric tons,Ukraine,2300
IRON ORE(iron content),million metric tons,Other countries,9500
IRON ORE(iron content),million metric tons,World total (rounded),87000
IRON OXIDE PIGMENTS,metric tons,India (ocher),37000000
KYANITE AND RELATED MINERALS,metric tons,"China (andalusite, crude ore)",5000000
KYANITE AND RELATED MINERALS,metric tons,India (kyanite and sillimanite),7200000
LEAD,thousand metric tons,United States,4600
LEAD,thousand metric tons,Australia,35000
LEAD,thousand metric tons,Bolivia,1600
LEAD,thousand metric tons,China,20000
LEAD,thousand metric tons,India,1900
LEAD,thousand metric tons,Iran,2000
LEAD,thousand metric tons,Mexico,5600
LEAD,thousand metric tons,Peru,5000
LEAD,thousand metric tons,Russia,8700
LEAD,thousand metric tons,Sweden,1700
LEAD,thousand metric tons,Turkey,1600
LEAD,thousand metric tons,Other countries,5900
LEAD,thousand metric tons,World total (rounded),95000
LITHIUM,metric tons,United States,1100000
LITHIUM,metric tons,Argentina,3600000
LITHIUM,metric tons,Australia,6200000
LITHIUM,metric tons,Brazil,390000
LITHIUM,metric tons,Canada,930000
LITHIUM,metric tons,Chile,9300000
LITHIUM,metric tons,China,3000000
LITHIUM,metric tons,Portugal,60000
LITHIUM,metric tons,Zimbabwe,310000
LITHIUM,metric tons,Other countries,2800000
LITHIUM,metric tons,World total (rounded),28000000
MAGNESIUM COMPOUNDS,thousand metric tons,United States,35000
MAGNESIUM COMPOUNDS,thousand metric tons,Australia,280000
MAGNESIUM COMPOUNDS,thousand metric tons,Austria,49000
MAGNESIUM COMPOUNDS,thousand metric tons,Brazil,200000
MAGNESIUM COMPOUNDS,thousand metric tons,China,580000
MAGNESIUM COMPOUNDS,thousand metric tons,Greece,280000
MAGNESIUM COMPOUNDS,thousand metric tons,India,66000
MAGNESIUM COMPOUNDS,thousand metric tons,Iran,10000
MAGNESIUM COMPOUNDS,thousand metric tons,Russia,2300000
MAGNESIUM COMPOUNDS,thousand metric tons,Saudi Arabia,2800
MAGNESIUM COMPOUNDS,thousand metric tons,Slovakia,1200000
MAGNESIUM COMPOUNDS,thousand metric tons,Spain,35000
MAGNESIUM COMPOUNDS,thousand metric tons,Turkey,110000
MAGNESIUM COMPOUNDS,thousand metric tons,Other countries,2500000
MAGNESIUM COMPOUNDS,thousand metric tons,World total (rounded),7700000
MANGANESE,thousand metric tons,Australia,500000
MANGANESE,thousand metric tons,Brazil,270000
MANGANESE,thousand metric tons,China,280000
MANGANESE,thousand metric tons,Gabon,61000
MANGANESE,thousand metric tons,Ghana,13000
MANGANESE,thousand metric tons,India,34000
MANGANESE,thousand metric tons,"Kazakhstan, concentrate",5000
MANGANESE,thousand metric tons,Mexico,5000
MANGANESE,thousand metric tons,South Africa,600000
MANGANESE,thousand metric tons,"Ukraine, concentrate",140000
MANGANESE,thousand metric tons,World total (rounded),1900000
MICA (NATURAL),metric tons,China,1100000
MICA (NATURAL),metric tons,"Korea, Republic of",11000000
MICA (NATURAL),metric tons,Turkey,620000
MOLYBDENUM,thousand metric tons,United States,3500
MOLYBDENUM,thousand metric tons,Argentina,100
MOLYBDENUM,thousand metric tons,Armenia,150
MOLYBDENUM,thousand metric tons,Australia,690
MOLYBDENUM,thousand metric tons,Canada,72
MOLYBDENUM,thousand metric tons,Chile,1400
MOLYBDENUM,thousand metric tons,China,5800
MOLYBDENUM,thousand metric tons,Iran,43
MOLYBDENUM,thousand metric tons,"Korea, Republic of",8
MOLYBDENUM,thousand metric tons,Mexico,130
MOLYBDENUM,thousand metric tons,Peru,1500
MOLYBDENUM,thousand metric tons,Russia,1100
MOLYBDENUM,thousand metric tons,Turkey,52
MOLYBDENUM,thousand metric tons,Uzbekistan,21
MOLYBDENUM,thousand metric tons,World total (rounded),15000
NICKEL,metric tons,United States,340000
NICKEL,metric tons,Australia,24000000
NICKEL,metric tons,Brazil,16000000
NICKEL,metric tons,Canada,2200000
NICKEL,metric tons,China,4200000
NICKEL,metric tons,Indonesia,55000000
NICKEL,metric tons,New Caledonia,7100000
NICKEL,metric tons,Philippines,4800000
NICKEL,metric tons,Russia,8300000
NICKEL,metric tons,Other countries,9100000
NICKEL,metric tons,World total (rounded),130000000
NIOBIUM (COLUMBIUM),metric tons,United States,210000
NIOBIUM (COLUMBIUM),metric tons,Brazil,16000000
NIOBIUM (COLUMBIUM),metric tons,Canada,1600000
NIOBIUM (COLUMBIUM),metric tons,World total (rounded),17000000
PEAT,thousand metric tons,United States,150000
PEAT,thousand metric tons,Belarus,2600000
PEAT,thousand metric tons,Canada,720000
PEAT,thousand metric tons,Estonia,570000
PEAT,thousand metric tons,Finland,6000000
PEAT,thousand metric tons,Latvia,150000
PEAT,thousand metric tons,Lithuania,210000
PEAT,thousand metric tons,Russia,1000000
PEAT,thousand metric tons,Other countriese,1400000
PEAT,thousand metric tons,World total (rounded),13000000
PERLITE,thousand metric tons,United States,50000
PERLITE,thousand metric tons,China,32000
PERLITE,thousand metric tons,Greece,180000
PERLITE,thousand metric tons,Iran,15000
PERLITE,thousand metric tons,Slovakia,30000
PHOSPHATE ROCK,thousand metric tons,United States,1000000
PHOSPHATE ROCK,thousand metric tons,Algeria,2200000
PHOSPHATE ROCK,thousand metric tons,Australia,1100000
PHOSPHATE ROCK,thousand metric tons,Brazil,1600000
PHOSPHATE ROCK,thousand metric tons,China,3800000
PHOSPHATE ROCK,thousand metric tons,Egypt,2800000
PHOSPHATE ROCK,thousand metric tons,Finland,1000000
PHOSPHATE ROCK,thousand metric tons,India,31000
PHOSPHATE ROCK,thousand metric tons,Israel,60000
PHOSPHATE ROCK,thousand metric tons,Jordan,1000000
PHOSPHATE ROCK,thousand metric tons,Kazakhstan,260000
PHOSPHATE ROCK,thousand metric tons,Mexico,30000
PHOSPHATE ROCK,thousand metric tons,Morocco,50000000
PHOSPHATE ROCK,thousand metric tons,Peru,210000
PHOSPHATE ROCK,thousand metric tons,Russia,2400000
PHOSPHATE ROCK,thousand metric tons,Saudi Arabia,1400000
PHOSPHATE ROCK,thousand metric tons,Senegal,50000
PHOSPHATE ROCK,thousand metric tons,South Africa,1500000
PHOSPHATE ROCK,thousand metric tons,Syria,250000
PHOSPHATE ROCK,thousand metric tons,Togo,30000
PHOSPHATE ROCK,thousand metric tons,Tunisia,2500000
PHOSPHATE ROCK,thousand metric tons,Turkey,71000
PHOSPHATE ROCK,thousand metric tons,Uzbekistan,100000
PHOSPHATE ROCK,thousand metric tons,Vietnam,30000
PHOSPHATE ROCK,thousand metric tons,Other countries,800000
PHOSPHATE ROCK,thousand metric tons,World total (rounded),74000000
PLATINUM-GROUP METALS,kilograms,United States,820000
PLATINUM-GROUP METALS,kilograms,Canada,310000
PLATINUM-GROUP METALS,kilograms,Russia,5500000
PLATINUM-GROUP METALS,kilograms,South Africa,63000000
PLATINUM-GROUP METALS,kilograms,Zimbabwe,1200000
PLATINUM-GROUP METALS,kilograms,World total (rounded),71000000
POTASH(k2O),thousand metric tons,United States,220000
POTASH(k2O),thousand metric tons,Belarus,750000
POTASH(k2O),thousand metric tons,Brazil,2300
POTASH(k2O),thousand metric tons,Canada,1100000
POTASH(k2O),thousand metric tons,Chile,100000
POTASH(k2O),thousand metric tons,China,180000
POTASH(k2O),thousand metric tons,Germany,150000
POTASH(k2O),thousand metric tons,Laos,75000
POTASH(k2O),thousand metric tons,Russia,650000
POTASH(k2O),thousand metric tons,Spain,68000
POTASH(k2O),thousand metric tons,Other countries,300000
POTASH(k2O),thousand metric tons,World total (rounded),3600000
POTASH(ore),thousand metric tons,United States,970000
POTASH(ore),thousand metric tons,Belarus,3300000
POTASH(ore),thousand metric tons,Brazil,10000
POTASH(ore),thousand metric tons,Canada,4500000
POTASH(ore),thousand metric tons,Laos,1000000
POTASH(ore),thousand metric tons,Other countries,1500000
POTASH(ore),thousand metric tons,World total (rounded),11000000
RARE EARTHS,metric tons of rare-earth-oxide (REO) equivalent,United States,1800000
RARE EARTHS,metric tons of rare-earth-oxide (REO) equivalent,Australia,5700000
RARE EARTHS,metric tons of rare-earth-oxide (REO) equivalent,Brazil,21000000
RARE EARTHS,metric tons of rare-earth-oxide (REO) equivalent,Canada,830000
RARE EARTHS,metric tons of rare-earth-oxide (REO) equivalent,China,44000000
RARE EARTHS,metric tons of rare-earth-oxide (REO) equivalent,Greenland,1500000
RARE EARTHS,metric tons of rare-earth-oxide (REO) equivalent,India,6900000
RARE EARTHS,metric tons of rare-earth-oxide (REO) equivalent,Russia,10000000
RARE EARTHS,metric tons of rare-earth-oxide (REO) equivalent,South Africa,790000
RARE EARTHS,metric tons of rare-earth-oxide (REO) equivalent,Tanzania,890000
RARE EARTHS,metric tons of rare-earth-oxide (REO) equivalent,Thailand,4500
RARE EARTHS,metric tons of rare-earth-oxide (REO) equivalent,Vietnam,22000000
RARE EARTHS,metric tons of rare-earth-oxide (REO) equivalent,World total (rounded),110000000
RHENIUM,kilograms,United States,400000
RHENIUM,kilograms,Armenia,95000
RHENIUM,kilograms,Chile,1300000
RHENIUM,kilograms,China,19200
RHENIUM,kilograms,Kazakhstan,190000
RHENIUM,kilograms,Russia,310000
SELENIUM,metric tons,United States,11000
SELENIUM,metric tons,Canada,6000
SELENIUM,metric tons,China,5000
SELENIUM,metric tons,Finland,300
SELENIUM,metric tons,India,500
SELENIUM,metric tons,Peru,1900
SELENIUM,metric tons,Poland,3000
SELENIUM,metric tons,Russia,26000
SELENIUM,metric tons,Sweden,500
SELENIUM,metric tons,Other countries,24000
SELENIUM,metric tons,World total (rounded),95000
SILVER,metric tons,United States,23000
SILVER,metric tons,Argentina,6500
SILVER,metric tons,Australia,94000
SILVER,metric tons,Bolivia,22000
SILVER,metric tons,Chile,26000
SILVER,metric tons,China,72000
SILVER,metric tons,India,8000
SILVER,metric tons,Mexico,37000
SILVER,metric tons,Peru,110000
SILVER,metric tons,Poland,170000
SILVER,metric tons,Russia,92000
SILVER,metric tons,Other countries,57000
SILVER,metric tons,World total (rounded),720000
SODA ASH,thousand metric tons,United States,23000000
SODA ASH,thousand metric tons,Botswana,16000
SODA ASH,thousand metric tons,Ethiopia,400000
SODA ASH,thousand metric tons,Kenya,7000
SODA ASH,thousand metric tons,Turkey,840000
SODA ASH,thousand metric tons,Other countries,280000
SODA ASH,thousand metric tons,"World total, natural (rounded)",25000000
TALC AND PYROPHYLLITE,thousand metric tons,United States (crude),140000
TALC AND PYROPHYLLITE,thousand metric tons,Brazil (crude and beneficiated),45000
TALC AND PYROPHYLLITE,thousand metric tons,China (unspecified minerals),72000
TALC AND PYROPHYLLITE,thousand metric tons,India,110000
TALC AND PYROPHYLLITE,thousand metric tons,Japan,100000
TALC AND PYROPHYLLITE,thousand metric tons,"Korea, Republic of",81000
TALC AND PYROPHYLLITE,thousand metric tons,Turkey,15000
TANTALUM,metric tons,Australia,110000
TANTALUM,metric tons,Brazil,40000
TELLURIUM,metric tons,China,240000
TIN,metric tons,Australia,620000
TIN,metric tons,Bolivia,400000
TIN,metric tons,Brazil,420000
TIN,metric tons,Burma,700000
TIN,metric tons,China,1100000
TIN,metric tons,Congo (Kinshasa),120000
TIN,metric tons,Peru,130000
TIN,metric tons,Russia,460000
TIN,metric tons,Vietname,11000
TIN,metric tons,Other countries,310000
TIN,metric tons,World total (rounded),4300000
TITANIUM MINERAL CONCENTRATES(limenite),thousand metric tons,United States,2000
TITANIUM MINERAL CONCENTRATES(limenite),thousand metric tons,Australia,180000
TITANIUM MINERAL CONCENTRATES(limenite),thousand metric tons,Brazil,43000
TITANIUM MINERAL CONCENTRATES(limenite),thousand metric tons,Canada,52000
TITANIUM MINERAL CONCENTRATES(limenite),thousand metric tons,China,210000
TITANIUM MINERAL CONCENTRATES(limenite),thousand metric tons,India,85000
TITANIUM MINERAL CONCENTRATES(limenite),thousand metric tons,Kenya,130
TITANIUM MINERAL CONCENTRATES(limenite),thousand metric tons,Madagascar,27000
TITANIUM MINERAL CONCENTRATES(limenite),thousand metric tons,Mozambique,22000
TITANIUM MINERAL CONCENTRATES(limenite),thousand metric tons,Norway,37000
TITANIUM MINERAL CONCENTRATES(limenite),thousand metric tons,South Africa,28000
TITANIUM MINERAL CONCENTRATES(limenite),thousand metric tons,Ukraine,5900
TITANIUM MINERAL CONCENTRATES(limenite),thousand metric tons,Vietnam,1600
TITANIUM MINERAL CONCENTRATES(limenite),thousand metric tons,Other countries,1200
TITANIUM MINERAL CONCENTRATES(limenite),thousand metric tons,"World total (ilmenite, rounded)",690000
TITANIUM MINERAL CONCENTRATES(rutile),thousand metric tons,Australia,35000
TITANIUM MINERAL CONCENTRATES(rutile),thousand metric tons,India,7400
TITANIUM MINERAL CONCENTRATES(rutile),thousand metric tons,Kenya,70
TITANIUM MINERAL CONCENTRATES(rutile),thousand metric tons,Madagascar,520
TITANIUM MINERAL CONCENTRATES(rutile),thousand metric tons,Mozambique,720
TITANIUM MINERAL CONCENTRATES(rutile),thousand metric tons,Sierra Leone,2900
TITANIUM MINERAL CONCENTRATES(rutile),thousand metric tons,South Africa,6100
TITANIUM MINERAL CONCENTRATES(rutile),thousand metric tons,Ukraine,2500
TITANIUM MINERAL CONCENTRATES(rutile),thousand metric tons,"World total (rutile, rounded)",55000
TUNGSTEN,metric tons,Australia,570000
TUNGSTEN,metric tons,Austria,10000
TUNGSTEN,metric tons,China,2300000
TUNGSTEN,metric tons,"Korea, North",29000
TUNGSTEN,metric tons,Portugal,4000
TUNGSTEN,metric tons,Russia,400000
TUNGSTEN,metric tons,Spain,66000
TUNGSTEN,metric tons,Vietnam,74000
TUNGSTEN,metric tons,Other countries,950000
TUNGSTEN,metric tons,World total (rounded),4400000
VANADIUM,metric tons,United States,45
VANADIUM,metric tons,Australia,8500
VANADIUM,metric tons,Brazil,120
VANADIUM,metric tons,China,4400
VANADIUM,metric tons,Russia,5000
VANADIUM,metric tons,South Africa,750
VANADIUM,metric tons,World total (rounded),19000
VERMICULITE,thousand metric tons,United States,25000
VERMICULITE,thousand metric tons,Brazil,6600
VERMICULITE,thousand metric tons,China,2900
VERMICULITE,thousand metric tons,India,1600
VERMICULITE,thousand metric tons,South Africa,14000
VERMICULITE,thousand metric tons,Turkey,11000
ZINC,thousand metric tons,United States,6600
ZINC,thousand metric tons,Australia,64000
ZINC,thousand metric tons,China,44000
ZINC,thousand metric tons,India,7400
ZINC,thousand metric tons,Kazakhstan,6700
ZINC,thousand metric tons,Mexico,14000
ZINC,thousand metric tons,Peru,21000
ZINC,thousand metric tons,Russia,25000
ZINC,thousand metric tons,South Africa,6200
ZINC,thousand metric tons,Sweden,4100
ZINC,thousand metric tons,Other countries,25000
ZINC,thousand metric tons,World total (rounded),220000
ZIRCONIUM AND HAFNIUM,metric tons,United States,500
ZIRCONIUM AND HAFNIUM,metric tons,Australia,55000
ZIRCONIUM AND HAFNIUM,metric tons,China,72
ZIRCONIUM AND HAFNIUM,metric tons,Kenya,18
ZIRCONIUM AND HAFNIUM,metric tons,Madagascar,2300
ZIRCONIUM AND HAFNIUM,metric tons,Mozambique,1500
ZIRCONIUM AND HAFNIUM,metric tons,Senegal,2600
ZIRCONIUM AND HAFNIUM,metric tons,Sierra Leone,290
ZIRCONIUM AND HAFNIUM,metric tons,South Africa,5600
ZIRCONIUM AND HAFNIUM,metric tons,Other countries,5700
ZIRCONIUM AND HAFNIUM,metric tons,World total (rounded),74000
