작성연도,보고서명,광산명,광종,소재지,광업지적,보고서번호
2013,임계96호(아연)광산 물리탐사보고서,해인,"금,은",경상북도 김천시 부항면 ,설천_070,13물-001
2008,"은산(금,은)광산 물리탐사보고서",은산,"금,은",전라남도 해남군 황산면 ,"우수영_067,우수영_077",08물-002
2008,"두정(금,은)광산 물리탐사보고서",두정,금,충청남도 부여군 은산면 가곡리,청양_100,08물-001
2007,CS자원개발(철)광산 기술조사보고서,CS자원개발,철,강원도 동해시 이기동 ,삼척_142,07물-001
2000,"천보(금,은)광산 물리탐사보고서",천보,"금,은","경기도 안성시 고삼면 신창리,경기도 안성시 양성면 도곡리",오산_016,00물-006
2000,"생금(금,은)광산 물리탐사보고서",생금,"금,동,연,은","충청북도 괴산군 감물면 매전리,충청북도 괴산군 장연면 오가리",괴산_041,00물-005
2000,"산전(금,은)광산 물리탐사보고서",산전,"금,은","경상북도 경산시 남천면 ,대구광역시 달성군 가창면 삼산리",경산_034,00물-004
2000,"미래(금,은)광산 물리탐사보고서",미래,"금,은",경상남도 함안군 여항면 외암리,"의령_018,의령_019",00물-003
2000,"내와(금,은,동)광산 물리탐사보고서(2차)",내와,"금,동,연,은",울산광역시 울주군 두서면 내와리,"모량_059,모량_069,모량_079,모량_080",00물-002
2000,"내와(금,은,동)광산 물리탐사보고서(1차)",내와,"금,동,은",울산광역시 울주군 두서면 내와리,"모량_059,모량_069,모량_079,모량_080",00물-001
1998,미로(철)광산 물리탐사조사보고서,미로,철,"강원도 삼척시 미로면 고천리,강원도 삼척시 미로면 상사전리",삼척_126,98물-006
1998,"동리(금,은)광산 물리탐사조사보고서",동리,"금,아연,은",경기도 연천군 연천면 상리,연천_112,98물-005
1998,왕거(니켈)광산 물리탐사조사보고서,왕거,니켈,경기도 연천군 왕징면 ,마전리_006,98물-004
1998,"만장(금,은)광산 물리탐조사사보고서",만진,"금,동,은",충청북도 괴산군 연풍면 유상리,괴산_013,98물-002
1997,"삼경(구.창금,티탄철)광산 물리탐사조사보고서",삼경,티탄철,인천광역시 강화군 서도면 볼음도리,주문도_021,97물-001
1996,"삼보(연,아연)광산 물리탐사보고서",삼보,"아연,연,중정석",경기도 화성시 봉담읍 ,,96물-002
1996,"김포(연,아연)지구 물리탐사보고서",(김포지구),"아연,연","경기도 김포시 월곶면 ,경기도 김포시 하성면 시암리",,96물-001
1995,"일동(철,망간)광산 물리탐사보고서",일동,"망간,철",강원도 정선군 남면 무릉리,,95물-007
1995,"석성(금,은)광산 물리탐사보고서",석성,"금,은",충청남도 부여군 석성면 현내리,부여_016,95물-006
1995,연천(티탄철)광산 물리탐사보고서,연천,티탄철,경기도 포천시 관인면 삼율리,"연천_003,연천_004,연천_013,연천_014",95물-005
1995,"금호(연,아연)광산 물리탐사보고서",금호,"아연,연",경상북도 봉화군 소천면 ,현동_109,95물-004
1995,"군북(금,은)광산 물리탐사보고서",군북,"금,동,은",경상남도 함안군 군북면 오곡리,의령_088,95물-003
1995,"은곡(은,연)광사 물리탐사보고서",은곡,"아연,연,은",충청북도 단양군 가곡면 ,영춘_049,95물-002
1995,"금적산(금,은)광산 물리탐사보고서",금적산,"금,동,은",충청북도 옥천군 안남면 ,,95물-001
1994,김해(철)지구 물리탐사보고서,(김해지구),철,"경상남도 김해시  ,경상남도 밀양시  ,경상남도 양산시  ","밀양_055,밀양_056,밀양_065,밀양_066,밀양_068,밀양_069,밀양_070,밀양_078,밀양_079,밀양_080,밀양_088,밀양_089,밀양_090,밀양_098,밀양_099,밀양_100,밀양_108,밀양_109,밀양_110,밀양_118,밀양_119,밀양_120",94물-007
1994,"금호(연,아연)광산 물리탐사보고서",금호,"금,동,망간,아연,연,은,철",경상북도 봉화군 소천면 ,현동_109,94물-006
1994,"왕피리(구.동진,주석)지구 물리탐사보고서",동진,주석,경상북도 울진군 서면 왕피리,"현동_007,현동_016,현동_017,현동_026,현동_037,현동_047",94물-005
1994,"금풍(연,아연)광산 물리탐사보고서",금풍,"금,동,아연,연,은",충청북도 제원군 수산면 율지리,"황강리_033,황강리_043",94물-004
1994,연천철(티탄철)광산 물리탐사보고서,연천철,"철,티탄늄",경기도 포천시 관인면 삼율리,"연천_003,연천_004,연천_013,연천_014",94물-003
1994,"대신(금,은)광산 물리탐사보고서",대신,"금,은",충청남도 천안시 동남구 북면 운용리,진천_148,94물-002
1994,연천철(티탄철)광산 물리탐사보고서,연천,"철,티탄늄",경기도 포천시 관인면 ,연천_013,94물-001
1993,예산(석탄)광산 물리탐사조사보고서,예산,석탄,"충청남도 예산군 광시면 ,충청남도 예산군 예산읍 ,충청남도 청양군 비봉면 ,충청남도 홍성군 장곡면 ",대흥_149,93물-001
1993,"부곡(구.성산,납석)광산 물리탐사조사보고서",부곡,"고령토,규석,납석,명반석",전라남도 해남군 황산면 부곡리,,93물-001
1993,"금풍(금,은)광산 물리탐사조사보고서",금풍,"금,동,아연,연,은",충청북도 제천시 수산면 율지리,"황강리_033,황강리_043",93물-011
1993,연평(티탄철)광산 물리탐사조사보고서,연평,"철,티탄철",경기도 옹진군 송림면 소연평리,"대연평도_014,대연평도_024",93물-009
1993,"금호(구.장군,연,아연)광산 물리탐사조사보고서",금호,"아연,연",경상북도 봉화군 소천면 서천리,현동_109,93물-007
1993,연천(티탄철)광산 물리탐사조사보고서,(연천지구),"철,티탄철",경기도 포천시 관인면 ,연천_003,93물-006
1993,"금호(금,은)광산 물리탐사조사보고서",금호,"금,은",충청남도 홍성군 광천읍 월림리,홍성_059,93물-005
1993,"석봉(금,은,동)광산 물리탐사조사보고서",석봉,"금,동,은",전라북도 진안군 동향면 ,장계_102,93물-004
1993,"이포(금,은)광산 물리탐사보고서",이포,"금,은",경기도 여주시 금사면 ,,93물-002
1993,"용광(금,은)광산 물리탐사보고서",용광,"금,은",전라북도 장수군 천천면 ,장계_135,93물-001
1992,경기제일(석탄)광산 물리탐사보고서,경기제일탄광,석탄,"경기도 연천군 전곡면 ,경기도 파주시 적성면 ","포천_121,포천_122,포천_131,포천_132,포천_142",92물-001
1992,삼광(티탄철)광산 물리탐사보고서,삼광(기타지구),티탄철,인천광역시 강화군 양사면 ,강화_043,92물-009
1992,"제일(금,은)광산 물리탐사보고서",제일,"금,은",충청남도 공주시 계룡면 내흥리,"공주_035,공주_036,공주_045,공주_046",92물-008
1992,연천(티탄철)지구 물리탐사보고서,"금장(연천지구),연천철광(연천지구)",티탄철,"경기도 포천시 관인면 ,경기도 포천시 영북면 ","연천_006,연천_014",92물-007
1992,범일포천(니켈)광산 물리탐사보고서,범일포천,니켈,경기도 포천시 내촌면 ,"의정부_003,의정부_004",92물-006
1992,"황금산(금,은)광산 물리탐사보고서",구룡,"동,아연,연,은",강원도 원주시 신림면 용암리,신림_098,92물-004
1992,황금산광산(예천지구)물리기본탐사보고서,황금산,"금,은","경상북도 상주시 중동면 ,경상북도 예천군 풍양면 ","낙동_122,낙동_123,낙동_132,낙동_133",92물-003
1992,"농암(연,아연)광산 물리탐사보고서",농암,"금,아연,연,은",경상북도 문경시 농암면 율수리,용유리_008,92물-002
1991,"음성(금,은)광산 물리탐사보고서",무극,"금,은",충청북도 음성군 금왕면 ,"음성_091,장호원_099",91물-014
1991,"봉화(연,아연)지구 물리탐사보고서",봉화,"금,동,망간,아연,연,은",경상북도 봉화군 소천면 ,,91물-011
1991,충주(철)지구 물리탐사보고서,금곡(충주지구),철,충청북도 중원군 이류면 ,"충주_082,충주_083,충주_092,충주_093,충주_094,충주_103,충주_104,충주_113,충주_114,충주_115,충주_124,충주_125",91물-010
1991,동광(철)광산 물리탐사보고서,동광,철,강원도 강릉시 강동면 ,석병산_001,91물-008
1991,"동영(금,은)광산 물리탐사보고서",동영,"금,동,아연,연,은",경상북도 경주시 산내면 ,모량_147,91물-007
1991,"유동(금,은,동)광산 물리탐사보고서",유동,"금,동,은",경기도 포천시 창수면 ,"연천_068,연천_078",91물-006
1991,범일포천(니켈)광산 물리탐사보고서,범일포천,니켈,경기도 포천시 내촌면 ,"의정부_003,의정부_004",91물-005
1991,범일가평(니켈)광산 물리탐사보고서,범일가평,니켈,"경기도 가평군 상면 ,경기도 포천시 내촌면 ",기산_130,91물-004
1991,"청계(금,은)광산 물리탐사보고서",청계,"금,은","경상북도 경산시 와촌면 ,경상북도 영천시 청통면 ",영천_103,91물-003
1991,"유봉(금,은)광산 물리탐사보고서",유봉,"금,동,연,은",경상북도 영천시 금호읍 ,영천_054,91물-002
1991,신어(철)광산 물리탐사보고서,신어,철,경상남도 김해시 상동면 ,김해_044,91물-001
1990,유광(도석)광산 물리탐사보고서,유광,도석,경상남도 양산시 웅상읍 명곡리,"양산_057,양산_058",90물-001
1990,"장군(연,아연)광산 물리탐사보고서",장군(봉화지구),"금,동,망간,아연,연,은",경상북도 봉화군 소천면 ,,90물-017
1990,"팔봉(금,은)광산 물리탐사보고서",팔봉,"금,은","전라북도 정읍시 고부면 ,전라북도 정읍시 덕천면 ,전라북도 정읍시 영원면 ,전라북도 정주시 망제동 ,전라북도 정주시 흑암동 ",,90물-016
1990,"삼기(금,은)광산 물리탐사보고서",삼기,"금,아연,연,은",강원도 영월군 수주면 무릉리,"신림_006,신림_007,영월_146,영월_147",90물-015
1990,금곡(철)광산 물리탐사보고서,금곡(충주지구),철,충청북도 중원군 이류면 금곡리,"충주_082,충주_083,충주_092,충주_093,충주_094,충주_103,충주_104,충주_113,충주_114,충주_115,충주_124,충주_125",90물-014
1990,"장금(금,은)광산 물리탐사보고서",장금,"금,은","전라북도 진안군 부귀면 ,전라북도 진안군 정천면 ","용담_087,용담_088",90물-013
1990,기호(철)광산 물리탐사보고서,기호,"철,철",경기도 포천시 관인면 중리,"연천_014,연천_015",90물-012
1990,"양자(금,은,비소)광산 물리탐사보고서",양자,"금,동,비소,연,은",경기도 양평군 강상면 대석리,양평_034,90물-011
1990,"천태(금,은)광산 물리탐사보고서",천태,"금,은",전라북도 정읍시 고부면 ,정읍_134,90물-010
1990,"어전(금,은)광산 물리탐사보고서",어전,"금,동,연,유화철,은",경상북도 금릉군 부항면 ,무풍_053,90물-009
1990,"구정(금,은)광산 물리탐사보고서",구정,"금,은",경상북도 영천시 청통면 죽정리,영천_092,90물-006
1990,"태경(금,은,연)광산 물리탐사보고서",태경,"금,연,은",강원도 정선군 화암면 ,예미_001,90물-005
1990,"제일(금,은)광산 물리탐사보고서",제일,"금,은",충청남도 공주시 계룡면 내흥리,"공주_035,공주_036,공주_045,공주_046",90물-004
1990,"가나(은,연,아연)광산 물리탐사보고서",가나,"아연,연,은","전라북도 완주군 소양면 ,전라북도 진안군 부귀면 ",용담_109,90물-003
1990,"동성(금,은,연,아연)광산 물리탐사보고서",동성,"금,동,연,은",강원도 고성군 현내면 검장리,고성_077,90물-002
1990,김해(철)광산 물리탐사보고서,김해,철,경상남도 김해시 대동면 주동리,김해_035,90물-001
1989,"금동(금,은,동)광산 물리탐사보고서",금동,"금,동,은",경상남도 남해군 창선면 지족리,남해_010,89물-020
1989,"봉화(연,아연)지구 물리탐사보고서","봉화,연화(봉화지구)","금,동,아연,아연,연,연,은","경상북도 봉화군 석포면 ,경상북도 봉화군 소천면 ",,89물-019
1989,연천(철)지구 물리탐사보고서,(연천지구),티탄철,경기도 포천시 관인면 ,"연천_003,연천_004,연천_013,연천_014,연천_015",89물-018
1989,"상동(금,은,연,아연)광산 물리탐사보고서",상동,"금,아연,연,은",경기도 가평군 상면 상동리,청평_133,89물-017
1989,김해(철)광산 물리탐사보고서,김해,철,경상남도 김해시 대동면 주동리,김해_035,89물-016
1989,석항(철)광산 물리탐사보고서,석항,철,강원도 영월군 중동면 ,예미_090,89물-015
1989,"황금산(금,은)광산 물리탐사보고서",황금산,"금,은","경상북도 상주시 중동면 ,경상북도 예천군 풍양면 ",,89물-014
1989,"금산(금,은,아연)광산 물리탐사보고서",금산,"금,동,아연,연,은",전라남도 구례군 간전면 ,하동_122,89물-013
1989,"송라(금,은,연,아연)광산 물리탐사보고서",송라,"금,동,아연,연,은","경상북도 영일군 송라면 중산리,경상북도 영일군 죽장면 상옥리",청하_146,89물-012
1989,"구정(금,은)광산 물리탐사보고서",구정,"금,은",경상북도 영천시 청통면 죽정리,영천_092,89물-011
1989,"금적산(금,은,동)광산 물리탐사보고서",금적산,"금,동,은",충청북도 옥천군 안남면 ,,89물-010
1989,"금풍(금,은)광산 물리탐사보고서",금풍,"금,은",강원도 홍천군 내촌면 ,풍암_072,89물-009
1989,"흥우(금,은,연,아연)광산 물리탐사보고서",흥우,"금,동,연,은",경상북도 영천시 청통면 죽정리,영천_093,89물-008
1989,"가야(금,은,동)광산 물리탐사보고서",가야,"금,동,은",경상남도 함안군 함안면 괴산리,"의령_057,의령_058,의령_067,의령_068",89물-007
1989,"천태(금,은)광산 물리탐사보고서",천태,"금,은",전라북도 정읍시 고부면 ,정읍_134,89물-006
1989,"세정(금,은,동)광산 물리탐사보고서",세정,"금,동,은",경상남도 거제시 신현읍 ,거제_070,89물-005
1989,"석봉(은,동,연,아연)광산 물리탐사보고서",석봉,"동,아연,연,은",경상북도 문경시 산북면 석봉리,문경_037,89물-004
1989,"천지(동,연,아연)광산 물리탐사보고서",천지,"금,동,아연,연,운모,은",경상남도 의창군 북면 동전리,마산_092,89물-003
1989,대남(철)광산 물리탐사보고서,대남,철,경상북도 영덕군 병곡면 ,영해_061,89물-002
1989,금곡(철)광산 물리탐사보고서,금곡,철,경상북도 울진군 후포면 ,영해_051,89물-001
1988,궁기(석탄)광산 물리탐사보고서,궁기탄광,석탄,경상북도 문경시 농암면 궁기리,용유리_024,88물-001
1988,"음성(금,은)지구 물리탐사보고서","금봉,금왕,무극","금,은","충청북도 음성군 금왕읍 ,충청북도 음성군 맹동면 ",,88물-025
1988,항남(철)광산 물리탐사보고서,항남,"금,동,은,철",충청북도 단양군 가곡면 ,영춘_050,88물-024
1988,"세정(금,은)광산 물리탐사보고서",세정,"금,동,은",경상남도 거제시  ,거제_070,88물-023
1988,"무극(금,은)광산 물리탐사보고서",무극,"금,연,은",충청북도 음성군 금왕읍 ,,88물-022
1988,울산(철)광산 물리탐사보고서,울산,"사문석,철,텅스텐",울산광역시 울주군  ,"울산_102,울산_103",88물-021
1988,"주천(금,은)광산 물리탐사보고서",주천,"금,동,연,은",강원도 영월군 주천면 ,영월_124,88물-020
1988,"고명(금,은)광산 물리탐사보고서",고명,"금,아연,연,은",강원도 고성군 현내면 ,"고성_068,고성_078",88물-019
1988,"동성(금,은)광산 물리탐사보고서",동성,"금,동,아연,연,은",강원도 고성군 현내면 ,고성_077,88물-018
1988,한천(철)광산 물리탐사보고서,한천,철,전라남도 화순군 한천면 ,,88물-017
1988,금곡(철)광산 물리탐사보고서,금곡,철,충청북도 충주시 대소원면 ,,88물-016
1988,"대해미(금,은)광산 물리탐사보고서",대해미,"금,은",충청남도 서산시 해미면 ,,88물-015
1988,"풍전(금,은,동)광산 물리탐사보고서",풍전,"금,동,아연,연,은",전라북도 김제시 금산면 ,전주_127,88물-014
1988,"석일(금,은)광산 물리탐사보고서",석일,"금,동,아연,연,은",충청남도 공주시 탄천면 ,,88물-013
1988,"동명(금,은)광산 물리탐사보고서",동명,"금,아연,연,은",강원도 정선군 임계면 ,임계_072,88물-012
1988,"상동(금,은)광산 물리탐사보고서",상동,"금,아연,연,은","경기도 가평군 상면 상동리,경기도 포천시 내촌면 소학리","청평_123,청평_133",88물-011
1988,"대봉(금,은)광산 물리탐사보고서",대봉,"금,은",충청남도 청양군 남양면 대봉리,청양_138,88물-010
1988,기호(철)광산 물리탐사보고서,기호,철,경기도 포천시 관인면 중리,"연천_014,연천_015",88물-009
1988,양양(철)광산 물리탐사보고서,양양,철,강원도 양양군 서면 장승리,"양양_107,양양_116,양양_126",88물-008
1988,금곡(철)광산 물리탐사보고서,금곡,철,충청북도 충주시 대소원면 금곡리,"충주_104,충주_113",88물-007
1988,"금실(금,은,동)광산 물리탐사보고서",금실,"금,동,아연,연,은","충청북도 제천시 수산면 ,충청북도 제천시 청풍면 ",황강리_043,88물-006
1988,연천(티탄철)광산 물리탐사보고서,연천,티탄철,경기도 포천시 관인면 삼율리,연천_003,88물-005
1988,"동진(금,은)광산 물리탐사보고서",동진,"금,동,연,은",경기도 화성시 남양동 ,"남양_089,남양_099",88물-004
1988,"상곡(구.삼보연철,금,은)광산 물리탐사보고서",상곡,"금,동,몰리브덴,아연,연,은",충청북도 단양군 적성면 ,제천_017,88물-003
1988,금곡(철)광산 물리탐사보고서,금곡,"규석,철",충청북도 충주시 대소원면 ,"충주_103,충주_113",88물-002
1988,"천태(금,은)광산 물리탐사보고서",천태,"금,은",전라북도 정읍시 고부면 ,정읍_123,88물-001
1987,태삼진(흑연)광산 물리탐사보고서,태삼진,흑연,경기도 가평군 상면 행현리,청평_084,87물-001
1987,"봉화(연,아연)광산 물리탐사보고서",봉화지구,"아연,연",강원도 태백시 장성동 ,"장성_145,장성_146",87물-031
1987,정선(철)지구 물리탐사보고서,"신예미,한룡","금,동,몰리브덴,아연,연,은,철","강원도 정선군 신동읍 ,강원도 정선군 임계면 ","예미_049,예미_050,예미_059,임계_076",87물-030
1987,양양(철)지구 물리탐사보고서,"양양,일신",철,강원도 양양군 강현면 ,"양양_103,양양_104,양양_112,양양_113,양양_114,양양_122,양양_123,양양_124",87물-029
1987,"봉발(연,아연)광산 물리탐사보고서",봉발,"금,동,아연,연,은",경상남도 고성군 영현면 ,,87물-028
1987,"고명(금,은)광산 물리탐사보고서",고명,"금,은",강원도 고성군 현내면 ,"고성_068,고성_078",87물-027
1987,"동보(금,은)광산 물리탐사보고서",동보,"금,동,아연,연,은",강원도 고성군 현내면 ,고성_068,87물-026
1987,"동성(연,아연)광산 물리탐사보고서",동성,"금,동,아연,연,은",강원도 고성군 현내면 ,고성_077,87물-025
1987,"주천(금,은)광산 물리탐사보고서",주천,"금,동,아연,연,은",강원도 영월군 주천면 ,영월_124,87물-024
1987,"삼전(금,은,동)광산 물리탐사보고서",삼전,"금,동,아연,연,은",경상남도 고성군 삼산면 ,충무_143,87물-023
1987,"울산(철,중석)광산 물리탐사보고서",울산,"사문석,아연,연,은,철,텅스텐",울산광역시 울주군  ,"울산_102,울산_103",87물-022
1987,"황금산(금,은)광산 물리탐사보고서",황금산,"금,동,아연,연,은","경상북도 상주시 중동면 ,경상북도 예천군 풍양면 ","상주_122,상주_123",87물-021
1987,"연화(연,아연)광산 물리탐사보고서",제2연화,"금,아연,연,은",강원도 태백시 철암동 ,,87물-020
1987,"보익(금,은)광산 물리탐사보고서",보익,"금,은",경기도 양평군 단월면 ,"용두리_050,이포_041",87물-019
1987,"한용(금,은)광산 물리탐사보고서",한용,"금,아연,연,은",강원도 정선군 임계면 ,임계_076,87물-018
1987,충주철(철)광산 물리탐사보고서,충주철,철,충청북도 충주시 대소원면 ,,87물-017
1987,서흥(철)광산 물리탐사보고서,서흥,철,강원도 홍천군 서석면 ,창촌_136,87물-016
1987,"천지(연,아연)광산 물리탐사보고서",천지,"금,동,아연,연,은",경상남도 창원시 의창구 북면 ,마산_071,87물-015
1987,"금만(금,은)광산 물리탐사보고서",금만,"금,동,은",전라북도 김제시 금산면 ,전주_146,87물-014
1987,"신림(은,연,아연)광산 물리탐사보고서",신림,"금,동,아연,연,은",강원도 원주시 신림면 ,신림_098,87물-013
1987,"삼호(금,은)광산 물리탐사보고서",삼호,"금,아연,연,은",강원도 횡성군 안흥면 ,,87물-012
1987,"금산(금,은)광산 물리탐사보고서",금산,"금,동,은",전라북도 김제시 금산면 ,전주_127,87물-011
1987,"금만(금,은)광산 물리탐사보고서",금만,"금,동,은",전라북도 김제시 금산면 ,"전주_126,전주_127",87물-010
1987,항남(철)광산 물리탐사보고서,항남,"금,동,은,철",충청북도 단양군 가곡면 ,영춘_050,87물-009
1987,"남일(은,동,연)광산 물리탐사보고서",남일,"금,동,아연,연,은",경상남도 남해군 서면 ,서상_093,87물-008
1987,"영명(금,은)광산 물리탐사보고서",영명,"금,은",충청남도 부여군 은산면 ,부여_093,87물-007
1987,금곡(철)광산 물리탐사보고서,금곡,"규석,철",충청북도 충주시 대소원면 ,"충주_103,충주_113,충주_124",87물-006
1987,"보성(금,은,연)광산 물리탐사보고서",보성,"금,동,아연,연,은",경기도 가평군  ,청평_014,87물-005
1987,한천(철)광산 물리탐사보고서,한천,"규석,철",전라남도 화순군 한천면 ,"광주_010,동복_150",87물-004
1987,대해미(금)광산 물리탐사보고서,대해미,"금,은",충청남도 서산시 해미면 산수리,"해미_118,해미_119",87물-003
1987,"금동칠보(금,은)광산 물리탐사보고서",금동칠보,"금,동,아연,연,은",경상북도 의성군 춘산면 ,,87물-002
1987,대흥철(철)광산 물리탐사보고서,대흥철,"기타,철",경상북도 울진군 울진읍 ,"울진_101,울진_111",87물-001
