광종,기간,시장전망지표
아연,2008-02-01,36.51637247
아연,2008-03-01,29.73518569
아연,2008-04-01,25.94475119
아연,2008-05-01,38.61685428
아연,2008-06-01,42.89412134
아연,2008-07-01,57.82361759
아연,2008-08-01,60.06244719
아연,2008-09-01,66.57353828
아연,2008-10-01,68.01168137
아연,2008-11-01,87.12694953
아연,2008-12-01,90.83085439
아연,2009-01-01,89.64659951
아연,2009-02-01,90.11885036
아연,2009-03-01,92.06476276
아연,2009-04-01,89.0992287
아연,2009-05-01,85.30585113
아연,2009-06-01,78.49737143
아연,2009-07-01,76.05540297
아연,2009-08-01,74.47441236
아연,2009-09-01,63.41221998
아연,2009-10-01,59.38253529
아연,2009-11-01,47.36056535
아연,2009-12-01,39.3691933
아연,2010-01-01,29.55480912
아연,2010-02-01,32.71440062
아연,2010-03-01,47.34114407
아연,2010-04-01,40.46227599
아연,2010-05-01,35.11349658
아연,2010-06-01,61.61280195
아연,2010-07-01,72.17735186
아연,2010-08-01,64.56274921
아연,2010-09-01,55.47637678
아연,2010-10-01,46.19907506
아연,2010-11-01,32.85878627
아연,2010-12-01,38.18920268
아연,2011-01-01,36.66030334
아연,2011-02-01,44.06262572
아연,2011-03-01,38.52250672
아연,2011-04-01,43.95585525
아연,2011-05-01,42.09659058
아연,2011-06-01,53.34135094
아연,2011-07-01,50.30993353
아연,2011-08-01,41.85230302
아연,2011-09-01,51.12450579
아연,2011-10-01,60.18758223
아연,2011-11-01,67.09990765
아연,2011-12-01,65.40897435
아연,2012-01-01,66.20446936
아연,2012-02-01,62.50640839
아연,2012-03-01,58.41055849
아연,2012-04-01,59.71028062
아연,2012-05-01,61.32994546
아연,2012-06-01,67.35469172
아연,2012-07-01,69.48409181
아연,2012-08-01,69.25361387
아연,2012-09-01,69.32396482
아연,2012-10-01,61.73766118
아연,2012-11-01,65.90097019
아연,2012-12-01,66.04669493
아연,2013-01-01,60.44343322
아연,2013-02-01,59.61708347
아연,2013-03-01,56.5645763
아연,2013-04-01,65.51656901
아연,2013-05-01,68.76862571
아연,2013-06-01,70.51485614
아연,2013-07-01,70.14325748
아연,2013-08-01,68.97531445
아연,2013-09-01,66.73497529
아연,2013-10-01,68.18459188
아연,2013-11-01,67.10795726
아연,2013-12-01,67.86822578
아연,2014-01-01,63.1834303
아연,2014-02-01,61.07784782
아연,2014-03-01,60.0864306
아연,2014-04-01,61.17595542
아연,2014-05-01,60.17982427
아연,2014-06-01,59.19304797
아연,2014-07-01,55.7027222
아연,2014-08-01,47.72067784
아연,2014-09-01,47.55198436
아연,2014-10-01,51.80378129
아연,2014-11-01,54.42589488
아연,2014-12-01,57.63674066
아연,2015-01-01,64.75195972
아연,2015-02-01,60.75831589
아연,2015-03-01,60.61743752
아연,2015-04-01,65.97622834
아연,2015-05-01,53.93087644
아연,2015-06-01,50.09782601
아연,2015-07-01,61.04029564
아연,2015-08-01,67.59845181
아연,2015-09-01,76.84740857
아연,2015-10-01,81.27467994
아연,2015-11-01,80.97620023
아연,2015-12-01,87.26245823
아연,2016-01-01,89.11772461
아연,2016-02-01,86.98197466
아연,2016-03-01,78.41315154
아연,2016-04-01,72.57688229
아연,2016-05-01,69.0570877
아연,2016-06-01,68.64976206
아연,2016-07-01,59.77561566
아연,2016-08-01,50.48293554
아연,2016-09-01,44.93904447
아연,2016-10-01,44.00581677
아연,2016-11-01,43.56069425
아연,2016-12-01,31.97294423
아연,2017-01-01,28.09015542
아연,2017-02-01,25.04987513
아연,2017-03-01,22.22753251
아연,2017-04-01,23.71414027
아연,2017-05-01,27.48678157
아연,2017-06-01,28.55854841
아연,2017-07-01,28.96903228
아연,2017-08-01,21.87324688
아연,2017-09-01,18.73752147
아연,2017-10-01,17.4047262
아연,2017-11-01,16.78449292
아연,2017-12-01,16.20320867
아연,2018-01-01,15.57505578
아연,2018-02-01,13.23696131
아연,2018-03-01,14.13805722
아연,2018-04-01,14.18509799
아연,2018-05-01,14.7229712
아연,2018-06-01,16.3394565
아연,2018-07-01,15.99455602
아연,2018-08-01,24.73252536
아연,2018-09-01,30.15354507
아연,2018-10-01,32.99920312
아연,2018-11-01,25.2515265
아연,2018-12-01,29.17749791
아연,2019-01-01,28.43618175
아연,2019-02-01,28.41774306
아연,2019-03-01,24.02905569
아연,2019-04-01,21.10056206
아연,2019-05-01,19.65915771
아연,2019-06-01,25.28607419
아연,2019-07-01,29.5642189
아연,2019-08-01,37.69069163
아연,2019-09-01,43.50830761
아연,2019-10-01,41.25740888
아연,2019-11-01,34.57343331
아연,2019-12-01,35.51664299
아연,2020-01-01,41.33011603
아연,2020-02-01,48.40425286
아연,2020-03-01,66.62764228
아연,2020-04-01,78.01535
아연,2020-05-01,78.16523942
아연,2020-06-01,72.49114451
아연,2020-07-01,69.11082428
아연,2020-08-01,59.6568021
아연,2020-09-01,45.32233591
아연,2020-10-01,43.94987486
아연,2020-11-01,44.56171287
아연,2020-12-01,31.82467588
아연,2021-01-01,33.86891461
아연,2021-02-01,32.61548361
아연,2021-03-01,28.16131305
아연,2021-04-01,27.71054549
아연,2021-05-01,24.41208905
아연,2021-06-01,18.66686633
아연,2021-07-01,20.52763272
아연,2021-08-01,20.65457417
아연,2021-09-01,19.99837391
아연,2021-10-01,18.93852994
아연,2021-11-01,11.21010726
아연,2021-12-01,15.10280972
아연,2022-01-01,10.89316211
아연,2022-02-01,11.14121969
아연,2022-03-01,10.0831242
아연,2022-04-01,9.796217042
아연,2022-05-01,9.490262263
아연,2022-06-01,14.58054398
아연,2022-07-01,19.67271353
아연,2022-08-01,38.52887298
아연,2022-09-01,23.424887
아연,2022-10-01,37.40593774
아연,2022-11-01,44.81979686
아연,2022-12-01,45.86540893
아연,2023-01-01,29.74035114
아연,2023-02-01,27.24626286
아연,2023-03-01,40.80606794
아연,2023-04-01,48.62956366
아연,2023-05-01,57.21870424
아연,2023-06-01,72.54087094
아연,2023-07-01,75.92115491
아연,2023-08-01,71.99436895
아연,2023-09-01,73.0055073
아연,2023-10-01,65.77019294
아연,2023-11-01,70.24565262
아연,2023-12-01,65.03415407
아연,2024-01-01,65.38979028
아연,2024-02-01,82.14519184
아연,2024-03-01,86.23994417
아연,2024-04-01,83.7911107
아연,2024-05-01,79.78116866
아연,2024-06-01,72.75
아연,2024-07-01,77.42
아연,2024-08-01,79.03
아연,2024-09-01,82.09
아연,2024-10-01,77.56
아연,2024-11-01,66.25
아연,2024-12-01,71.05
아연,2025-01-01,68.08
아연,2025-02-01,62.6
아연,2025-03-01,64.65
